,Basic Materials,Technology,"Consumer, Non-cyclical",Communications,Energy,Financial,"Consumer, Cyclical",Utilities,Industrial
617,,,,,DO,,,,
618,,,AET,,,,,,
619,,,HSH,,,,,,
620,,,BAX,,,,,,
621,,,,,,SLM,,,
622,,,,,,,,,FLR
623,,RHT,,,,,,,
624,,,,,,,,,RSG
625,,,INCY,,,,,,
626,,,,,,PNC,,,
627,,,,,,,TPR,,
628,,,,,,,,PEG,
629,,,,,,USB,,,
630,,,IQV,,,,,,
631,,,,,,EQR,,,
632,,NOVL,,,,,,,
633,,,,,,,VFC,,
634,,,,,HAL,,,,
635,,,,,CAM,,,,
636,,,,,,,AAL,,
637,,,,,,KIM,,,
638,,,,,,,,WEC,
639,,,,,,,,,WM
640,,,,,,,KSS,,
641,,,VAR,,,,,,
642,,,,,,IVZ,,,
643,,,PEP,,,,,,
644,,,,,,BLK,,,
645,,CTXS,,,,,,,
646,AA,,,,,,,,
647,,,,,,,,,AME
648,,,,,,,ROST,,
649,,CRM,,,,,,,
650,,,,,,,,AEE,
651,,,,,,,,,TDG
652,,,,,RDC,,,,
653,,,,,,AVB,,,
654,,,,,,,PVH,,
655,,,,,,,,,JBHT
656,,,,,,,,,SWK
658,,,WU,,,,,,
659,,,,,,JNS,,,
660,,,MCK,,,,,,
661,,,KR,,,,,,
